age,weight,height,humidity,temperature,workout_type,workout_duration,season,total_intake
25,70,175,45,22,Build Muscle,60,Spring,2800
32,85,180,60,28,Lose Weight,45,Summer,3200
28,65,168,55,25,Get Fit,30,Summer,2500
45,90,178,40,18,Improve Endurance,90,Winter,3500
22,58,162,70,30,Lose Weight,40,Summer,2400
35,78,172,50,24,Build Muscle,75,Spring,3000
41,95,185,65,27,Lose Weight,50,Summer,3400
29,72,176,48,20,Get Fit,35,Autumn,2600
38,88,182,55,26,Improve Endurance,80,Summer,3300
26,62,165,42,19,Build Muscle,55,Winter,2700
33,80,177,58,29,Lose Weight,45,Summer,3100
27,68,170,52,23,Get Fit,40,Spring,2550
50,92,180,38,16,Improve Endurance,70,Winter,3200
24,60,164,68,31,Lose Weight,35,Summer,2450
36,75,174,47,21,Build Muscle,65,Autumn,2850
42,87,181,62,27,Get Fit,50,Summer,3150
30,70,173,54,25,Improve Endurance,85,Spring,3400
23,56,160,72,32,Lose Weight,30,Summer,2300
39,82,179,44,20,Build Muscle,70,Winter,2950
28,66,167,61,28,Get Fit,45,Summer,2700
46,94,183,36,15,Improve Endurance,95,Winter,3600
31,77,175,50,24,Lose Weight,40,Spring,2900
25,63,166,66,30,Build Muscle,60,Summer,2750
37,84,178,56,26,Get Fit,55,Summer,3050
44,89,180,40,17,Improve Endurance,75,Winter,3250
26,59,163,69,31,Lose Weight,35,Summer,2400
34,79,176,49,22,Build Muscle,68,Autumn,2900
40,91,184,64,28,Get Fit,48,Summer,3250
29,71,172,53,24,Improve Endurance,82,Spring,3350
22,57,161,71,32,Lose Weight,32,Summer,2350
35,76,174,46,20,Build Muscle,72,Winter,2950
43,86,180,59,27,Lose Weight,52,Summer,3200
27,67,169,51,23,Get Fit,42,Spring,2600
48,93,182,37,16,Improve Endurance,88,Winter,3500
24,61,165,67,30,Lose Weight,38,Summer,2450
36,74,173,48,21,Build Muscle,64,Autumn,2800
30,81,177,57,26,Get Fit,47,Summer,3000
41,88,181,43,19,Improve Endurance,78,Winter,3300
23,58,162,70,31,Lose Weight,33,Summer,2380
38,83,179,45,20,Build Muscle,69,Winter,2920
28,69,171,60,28,Get Fit,44,Summer,2750
47,92,183,39,17,Improve Endurance,92,Winter,3550
32,78,176,52,25,Lose Weight,43,Spring,2950
25,64,167,65,29,Build Muscle,62,Summer,2780
37,85,179,55,26,Get Fit,54,Summer,3080
45,90,181,41,18,Improve Endurance,84,Winter,3400
26,60,164,68,30,Lose Weight,36,Summer,2420
33,77,175,50,23,Build Muscle,67,Spring,2880
42,87,182,63,27,Lose Weight,51,Summer,3220
31,72,174,54,25,Get Fit,46,Spring,2680
49,94,184,38,16,Improve Endurance,90,Winter,3580
27,65,168,66,30,Lose Weight,39,Summer,2480
35,80,178,49,22,Build Muscle,71,Autumn,2950
40,89,183,58,27,Get Fit,49,Summer,3180
29,70,173,53,24,Improve Endurance,81,Spring,3320
24,59,163,69,31,Lose Weight,34,Summer,2400
36,75,174,47,21,Build Muscle,66,Winter,2850
43,88,181,62,28,Get Fit,53,Summer,3150
28,68,170,56,26,Improve Endurance,79,Summer,3280
50,95,185,40,17,Lose Weight,55,Winter,3300
22,57,161,71,32,Build Muscle,58,Summer,2680
39,82,179,44,20,Get Fit,41,Autumn,2900
26,62,165,64,29,Lose Weight,37,Summer,2450
34,79,176,51,24,Improve Endurance,86,Spring,3380
41,90,182,42,18,Build Muscle,73,Winter,3000
30,73,175,59,27,Get Fit,50,Summer,3100
46,93,184,39,16,Improve Endurance,94,Winter,3620
25,63,166,67,30,Lose Weight,40,Summer,2500
37,84,178,48,22,Build Muscle,70,Autumn,2920
44,89,181,61,28,Get Fit,48,Summer,3200
29,71,172,54,25,Improve Endurance,83,Spring,3360
23,58,162,70,31,Lose Weight,35,Summer,2400
35,76,174,46,21,Build Muscle,68,Winter,2880
42,87,180,63,27,Get Fit,52,Summer,3180
27,67,169,55,26,Improve Endurance,80,Summer,3300
48,94,183,38,17,Lose Weight,56,Winter,3350
24,61,165,68,30,Build Muscle,61,Summer,2750
36,74,173,49,23,Get Fit,45,Spring,2950
31,81,177,58,26,Improve Endurance,87,Summer,3420
40,88,181,43,19,Lose Weight,47,Winter,3150
22,56,160,72,32,Build Muscle,59,Summer,2700
38,83,179,46,20,Get Fit,43,Autumn,2880
28,69,171,60,28,Improve Endurance,77,Summer,3250
45,91,182,40,18,Lose Weight,54,Winter,3280
33,78,176,53,25,Build Muscle,69,Spring,2900
26,64,167,66,29,Get Fit,46,Summer,2800
37,85,179,56,26,Improve Endurance,85,Summer,3380
47,92,183,39,17,Lose Weight,57,Winter,3400
25,62,166,65,30,Build Muscle,63,Summer,2780
34,80,177,52,24,Get Fit,49,Spring,3000
41,89,182,44,19,Improve Endurance,89,Winter,3450
30,72,174,59,27,Lose Weight,44,Summer,3050
49,95,185,38,16,Build Muscle,74,Winter,3100
27,66,168,67,30,Get Fit,41,Summer,2700
35,77,175,50,23,Improve Endurance,84,Spring,3350
43,88,181,62,28,Lose Weight,53,Summer,3250
29,70,173,54,25,Build Muscle,70,Summer,2900
23,58,162,70,31,Get Fit,36,Summer,2420
36,75,174,48,22,Improve Endurance,82,Autumn,3320
